epoch,binary_crossentropy,dice_coef,loss,val_binary_crossentropy,val_dice_coef,val_loss
0,0.2492057830095291,0.3074363172054291,0.6932377815246582,0.03451301157474518,0.5246849656105042,0.46562761068344116
1,0.030081596225500107,0.5961394309997559,0.4046739935874939,0.035948194563388824,0.5031815767288208,0.4867854714393616
2,0.024609200656414032,0.6230053901672363,0.374889075756073,0.019179290160536766,0.6537958383560181,0.33555862307548523
3,0.02167203277349472,0.6679868102073669,0.3335118591785431,0.025213085114955902,0.6444822549819946,0.34493982791900635
4,0.021075010299682617,0.6907394528388977,0.306100457906723,0.02073819190263748,0.6826437711715698,0.30983003973960876
5,0.018303949385881424,0.7237560153007507,0.27686700224876404,0.01798015646636486,0.7238006591796875,0.2678496837615967
6,0.02084464021027088,0.7039964199066162,0.292726069688797,0.018222352489829063,0.6966065168380737,0.2936937212944031
7,0.019737564027309418,0.7052128911018372,0.2950497269630432,0.018018638715147972,0.729526162147522,0.26233887672424316
8,0.018815137445926666,0.7163751125335693,0.28255385160446167,0.01931198313832283,0.7225372195243835,0.2694851756095886
9,0.017710089683532715,0.7437717318534851,0.2562579810619354,0.018627449870109558,0.7408937215805054,0.251328706741333
10,0.017943143844604492,0.7391128540039062,0.2604292929172516,0.017719175666570663,0.7410993576049805,0.25111913681030273
11,0.016304362565279007,0.7592445015907288,0.23592333495616913,0.017152782529592514,0.7588774561882019,0.23265263438224792
12,0.01740787923336029,0.7522860169410706,0.24848933517932892,0.018110334873199463,0.732108473777771,0.2601460814476013
13,0.01643485203385353,0.7639796733856201,0.23585030436515808,0.01775190979242325,0.7512027621269226,0.23949246108531952
14,0.016625316813588142,0.7706200480461121,0.22856131196022034,0.018856709823012352,0.7440871000289917,0.24731582403182983
15,0.01721898652613163,0.7670326828956604,0.23162893950939178,0.017079105600714684,0.7533378601074219,0.23808500170707703
16,0.016654295846819878,0.7810246348381042,0.21917912364006042,0.017751209437847137,0.762830376625061,0.2294607162475586
17,0.01674654893577099,0.7683602571487427,0.2285143882036209,0.018382225185632706,0.7573407292366028,0.2348533272743225
18,0.018777433782815933,0.7683982253074646,0.23279865086078644,0.022683266550302505,0.7345378994941711,0.2570410370826721
19,0.019008567556738853,0.7708715796470642,0.23026351630687714,0.022268619388341904,0.719392716884613,0.270901620388031
