epoch,binary_crossentropy,dice_coef,loss,lr,val_binary_crossentropy,val_dice_coef,val_loss
0,0.019216515123844147,0.7663925290107727,0.23313598334789276,1e-04,0.01914614625275135,0.6933751702308655,0.3098064064979553
1,0.017785461619496346,0.7934007048606873,0.20681627094745636,1e-04,0.01612447388470173,0.7526894807815552,0.25141993165016174
2,0.01671421341598034,0.7920711636543274,0.20911958813667297,1e-04,0.018246259540319443,0.7040154337882996,0.29846036434173584
3,0.01763134077191353,0.7793724536895752,0.22079560160636902,1e-04,0.015337219461798668,0.7633897662162781,0.2399631142616272
4,0.018915735185146332,0.7488541007041931,0.25170445442199707,1e-04,0.0146785331889987,0.7394065856933594,0.2643451690673828
5,0.01760650798678398,0.7649347186088562,0.23450690507888794,1e-04,0.015201670117676258,0.754010021686554,0.2498154491186142
6,0.01765672117471695,0.7864378690719604,0.20565831661224365,1e-04,0.015811441466212273,0.7604424357414246,0.24347318708896637
7,0.016918329522013664,0.7885599136352539,0.20730556547641754,1e-04,0.01591646671295166,0.7682242393493652,0.23538494110107422
8,0.018786799162626266,0.7740462422370911,0.2250935584306717,1e-04,0.017972728237509727,0.7425841689109802,0.2608439326286316
9,0.018096819519996643,0.7815372347831726,0.21758422255516052,1e-04,0.017252204939723015,0.7486899495124817,0.2555142939090729
10,0.017178121954202652,0.7794352173805237,0.21273136138916016,1e-04,0.015979422256350517,0.7618902325630188,0.24171799421310425
11,0.016161911189556122,0.788374662399292,0.20682024955749512,1e-04,0.016385184600949287,0.7545579671859741,0.24891720712184906
12,0.017704075202345848,0.7858076691627502,0.21479783952236176,1e-04,0.016976390033960342,0.7550588250160217,0.24839948117733002
