epoch,binary_crossentropy,dice_coef,loss,lr,val_binary_crossentropy,val_dice_coef,val_loss
0,0.020939111709594727,0.7984780073165894,0.21059797704219818,0.00904604,0.021183110773563385,0.7371185421943665,0.27698659896850586
1,0.021153993904590607,0.7890604138374329,0.21392947435379028,0.0065485397,0.021247275173664093,0.7583170533180237,0.25503987073898315
2,0.019894413650035858,0.7914609909057617,0.21290349960327148,0.0034614601,0.02106505259871483,0.7468474507331848,0.26742023229599
3,0.018867934122681618,0.8127610087394714,0.19097772240638733,0.00096396013,0.019967855885624886,0.7566355466842651,0.25708332657814026
4,0.018124498426914215,0.8242654800415039,0.18264847993850708,1e-05,0.01983529143035412,0.7583683729171753,0.2551848590373993
5,0.01964988373219967,0.8168500661849976,0.1915188580751419,0.008657838,0.023261111229658127,0.7402506470680237,0.27408266067504883
6,0.019782381132245064,0.8001983165740967,0.21007855236530304,0.007683445,0.021039122715592384,0.7588788270950317,0.2546102702617645
7,0.018713705241680145,0.8243002891540527,0.1862572282552719,0.006225162,0.019696388393640518,0.746083676815033,0.2680857181549072
8,0.01800248585641384,0.8172677159309387,0.19234631955623627,0.004505,0.019785689190030098,0.7667123675346375,0.24675701558589935
9,0.016821762546896935,0.8331454992294312,0.17396679520606995,0.002784838,0.022087659686803818,0.7454020380973816,0.268153578042984
10,0.016345219686627388,0.8367243409156799,0.1717624068260193,0.001326555,0.019389154389500618,0.7646358609199524,0.24862070381641388
11,0.014609061181545258,0.8569424748420715,0.1491335779428482,0.0003521615,0.019300904124975204,0.7601767778396606,0.252926766872406
12,0.015108090825378895,0.8563905954360962,0.15158575773239136,1e-05,0.018867049366235733,0.7608040571212769,0.25211700797080994
13,0.017550671473145485,0.8399298787117004,0.16822828352451324,0.00796217,0.020552562549710274,0.7467656135559082,0.2670101523399353
14,0.017260128632187843,0.8243822455406189,0.18506067991256714,0.007558073,0.02055777609348297,0.7540512681007385,0.2591543197631836
15,0.01668323390185833,0.8342399001121521,0.17401465773582458,0.006915247,0.01965675689280033,0.7511622309684753,0.2625429928302765
16,0.01507528405636549,0.8455007672309875,0.16140511631965637,0.0060775,0.01933940500020981,0.743470311164856,0.2703627943992615
17,0.014112374745309353,0.8525463938713074,0.1553219109773636,0.005101923,0.019410811364650726,0.7586091756820679,0.25469446182250977
18,0.013935153372585773,0.8519853949546814,0.15546877682209015,0.004055,0.019159218296408653,0.7418680787086487,0.2716276943683624
19,0.013448965735733509,0.8601033687591553,0.14696747064590454,0.003008077,0.018271377310156822,0.753156304359436,0.2600572407245636
20,0.012251456268131733,0.8733580708503723,0.13279728591442108,0.0020325,0.018001345917582512,0.7655956149101257,0.24698248505592346
21,0.011775743216276169,0.8788478970527649,0.12717744708061218,0.0011947531,0.018177591264247894,0.7622882127761841,0.25045245885849
22,0.011657848954200745,0.87490314245224,0.13140375912189484,0.00055192725,0.018065428361296654,0.7564285397529602,0.25652891397476196
23,0.010791385546326637,0.8778334856033325,0.1281401813030243,0.00014783003,0.018191136419773102,0.7579585909843445,0.2549443244934082
24,0.0106327710673213,0.8866134285926819,0.11935777217149734,1e-05,0.018241707235574722,0.7581075429916382,0.2547691762447357
25,0.012286671437323093,0.8668462634086609,0.1398596614599228,0.0072347,0.01944584958255291,0.7329700589179993,0.2802494764328003
26,0.012999122031033039,0.8606986403465271,0.1451720893383026,0.0070704813,0.020219581201672554,0.737037718296051,0.2760756313800812
27,0.013559496961534023,0.8562222123146057,0.15022829174995422,0.0068023326,0.022509651258587837,0.7269089818000793,0.2876301407814026
28,0.013158788904547691,0.8625497817993164,0.14424015581607819,0.006438402,0.0202998798340559,0.7049932479858398,0.30987608432769775
29,0.011819368228316307,0.8743895292282104,0.13175004720687866,0.005989747,0.020506279543042183,0.7403102517127991,0.2734892964363098
