epoch,binary_crossentropy,dice_coef,loss,val_binary_crossentropy,val_dice_coef,val_loss
0,0.27448299527168274,0.04366389289498329,0.9557903409004211,0.06582558155059814,4.250680536721507e-12,1.0
1,0.07590668648481369,3.3264422032858176e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
2,0.07590669393539429,4.740954157034238e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
3,0.07590668648481369,3.6659863512922275e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
4,0.07590670138597488,3.60434577149904e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
5,0.07590669393539429,3.342818209739473e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
6,0.07590670883655548,3.340992630121442e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
7,0.07590668648481369,3.3746991746214094e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
8,0.07590670138597488,3.1053516962725736e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
9,0.07590669393539429,3.682418953099287e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
10,0.07590669393539429,3.688762836850934e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
11,0.07590669393539429,3.364892999652147e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
12,0.07590670138597488,3.1781010115250474e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
13,0.07590669393539429,3.1194031732684202e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
14,0.07590670883655548,3.301772917574386e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
15,0.07590670883655548,3.4825141902172785e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
16,0.07590670883655548,3.882324583343033e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
17,0.07590670883655548,3.373615406129793e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
18,0.07590670138597488,3.4841862468076856e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
19,0.07590669393539429,3.609525222117438e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
20,0.07590670138597488,3.4386393472224386e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
21,0.07590671628713608,3.122584005602058e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
22,0.07590669393539429,3.2745863312588774e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
23,0.07590671628713608,4.301137137424638e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
24,0.07590670138597488,3.6086439825916417e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
25,0.07590670138597488,3.793109056016153e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
26,0.07590669393539429,3.750961347082082e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
27,0.07590670138597488,3.4054625439039476e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
28,0.07590670138597488,3.736235713175384e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
29,0.07590670883655548,3.8692027012898755e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
30,0.07590670138597488,3.263073188389254e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
31,0.07590670138597488,3.1506628903055223e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
32,0.07590669393539429,3.2821323783793765e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
33,0.07590669393539429,4.025278374508723e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
34,0.07590669393539429,3.5905681639719633e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
35,0.07590670138597488,3.6474408562914284e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
36,0.07590670138597488,3.750094419024963e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
37,0.07590670138597488,3.3804322188690783e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
38,0.07590670138597488,3.521980016657489e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
39,0.07590668648481369,3.843223916194516e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
40,0.07590670138597488,3.383995991410038e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
41,0.07590668648481369,3.5251289734472557e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
42,0.07590668648481369,3.5697501812176347e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
43,0.07590669393539429,3.39674729316064e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
44,0.07590670883655548,3.1852348449795675e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
45,0.07590669393539429,3.7525997934051425e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
46,0.07590669393539429,4.333953768781429e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
47,0.07590670883655548,3.436314167243326e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
48,0.07590669393539429,3.772099819998598e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
49,0.07590669393539429,3.5018229635475073e-12,1.0,0.06582558155059814,4.250680536721507e-12,1.0
