epoch,binary_crossentropy,dice_coef,loss,val_binary_crossentropy,val_dice_coef,val_loss
0,0.6480965614318848,0.014875730499625206,0.9850195646286011,0.6139299273490906,0.017033854499459267,0.9828852415084839
1,0.2806340157985687,0.12834559381008148,0.8724838495254517,0.029432078823447227,0.41642576456069946,0.5897359848022461
2,0.03188573196530342,0.5268933773040771,0.47647711634635925,0.024814492091536522,0.5352829694747925,0.4704430401325226
3,0.029513297602534294,0.5659946203231812,0.43341636657714844,0.02827676199376583,0.5297592878341675,0.47593846917152405
4,0.02745056338608265,0.5967046022415161,0.3982939124107361,0.022893883287906647,0.5801043510437012,0.42588260769844055
5,0.024157395586371422,0.6430256366729736,0.35897505283355713,0.025162996724247932,0.5669386982917786,0.43719491362571716
6,0.022445619106292725,0.6630592346191406,0.3389025032520294,0.019661061465740204,0.6169676780700684,0.38639023900032043
7,0.019507210701704025,0.6770064830780029,0.32494449615478516,0.018358908593654633,0.6310133337974548,0.3721636235713959
8,0.01937018148601055,0.6836884617805481,0.31835848093032837,0.016085483133792877,0.6734035611152649,0.3304331302642822
9,0.017652597278356552,0.7091076374053955,0.290080189704895,0.015413740649819374,0.683838963508606,0.3198011815547943
10,0.019098853692412376,0.7035444974899292,0.2952630817890167,0.020887739956378937,0.6266201734542847,0.3787563145160675
11,0.02005688101053238,0.717768669128418,0.283006876707077,0.019256047904491425,0.6497958898544312,0.3536231219768524
12,0.01873099058866501,0.6992524266242981,0.2937208414077759,0.018547823652625084,0.6577114462852478,0.3458758592605591
13,0.018831275403499603,0.7292376160621643,0.2720262110233307,0.01960015669465065,0.6460593938827515,0.3567846715450287
14,0.019233249127864838,0.7007526755332947,0.29835960268974304,0.019601095467805862,0.6418002247810364,0.36004361510276794
15,0.019015004858374596,0.721808910369873,0.2801177203655243,0.015338641591370106,0.7034477591514587,0.2993023693561554
16,0.01888020522892475,0.7253416180610657,0.2744358777999878,0.01756209321320057,0.6792581677436829,0.32469797134399414
17,0.018744688481092453,0.7347941398620605,0.2662334442138672,0.015102117322385311,0.7106798887252808,0.2915361821651459
18,0.01829649694263935,0.7384066581726074,0.2603031396865845,0.01720874197781086,0.6754320859909058,0.32572275400161743
19,0.018637588247656822,0.7355490326881409,0.2661375403404236,0.015424225479364395,0.7034247517585754,0.29873165488243103
20,0.018348243087530136,0.7174356579780579,0.2753743827342987,0.014544786885380745,0.7286511063575745,0.27458155155181885
21,0.01868990994989872,0.7310173511505127,0.26966407895088196,0.01616707257926464,0.7015552520751953,0.3000721335411072
22,0.019107775762677193,0.7435497641563416,0.256854385137558,0.015537749975919724,0.7167300581932068,0.2865293025970459
23,0.019429374486207962,0.7271333932876587,0.2715415060520172,0.016331292688846588,0.7109187245368958,0.29189714789390564
24,0.01886720396578312,0.7361750602722168,0.26517269015312195,0.015721866860985756,0.7206738591194153,0.28290510177612305
25,0.018615202978253365,0.7235865592956543,0.2713004946708679,0.01448108721524477,0.7388460040092468,0.26418134570121765
26,0.01919563300907612,0.731882631778717,0.26922687888145447,0.014856463298201561,0.7388888001441956,0.2641422152519226
27,0.018436653539538383,0.7401248216629028,0.25741884112358093,0.014852121472358704,0.7405269742012024,0.2626773416996002
28,0.018479323014616966,0.7518011927604675,0.24856732785701752,0.014854413457214832,0.7401767373085022,0.2631886899471283
29,0.0182684063911438,0.754281759262085,0.24697783589363098,0.01562222559005022,0.72280353307724,0.2795281410217285
30,0.01744970493018627,0.754441499710083,0.24268214404582977,0.015381408855319023,0.7371307611465454,0.2659432590007782
31,0.017496895045042038,0.7426519393920898,0.2540503144264221,0.017825191840529442,0.6922460198402405,0.310179740190506
32,0.01881667599081993,0.7459375262260437,0.246597021818161,0.017532654106616974,0.7028345465660095,0.29941606521606445
33,0.019277576357126236,0.7453314661979675,0.25178730487823486,0.015758756548166275,0.7280770540237427,0.2744837999343872
34,0.017948243767023087,0.7366639375686646,0.2640015780925751,0.015442362055182457,0.7322729229927063,0.2705601453781128
35,0.017580224201083183,0.7468438744544983,0.2545032501220703,0.015464108437299728,0.7358614206314087,0.2668907344341278
36,0.017944136634469032,0.7519828677177429,0.248784139752388,0.01517042238265276,0.7470583319664001,0.25618064403533936
37,0.018027441576123238,0.7462812662124634,0.2537742555141449,0.01523896586149931,0.7425724267959595,0.26064714789390564
38,0.018096892163157463,0.7431648969650269,0.25753989815711975,0.016025811433792114,0.7186827063560486,0.28441178798675537
39,0.017926931381225586,0.7686523199081421,0.23204366862773895,0.0152426827698946,0.7436084747314453,0.25981032848358154
40,0.01775372587144375,0.7591131329536438,0.2379765510559082,0.01520738285034895,0.7450398206710815,0.25821176171302795
41,0.01729019545018673,0.7661969065666199,0.23485319316387177,0.01595969870686531,0.7396866679191589,0.26319795846939087
42,0.01826862432062626,0.7537226676940918,0.24322041869163513,0.016305947676301003,0.7297030091285706,0.27324727177619934
